Time (ms),Angle (degrees),Buzzer
52,89,0
205,91,0
357,91,0
510,92,0
662,92,0
815,92,0
969,92,0
1121,91,0
1274,93,0
1426,92,0
1579,90,0
1732,90,0
1885,91,0
2038,92,0
2190,92,0
2343,90,0
2496,91,0
2649,91,0
2801,91,0
2954,91,0
3107,93,0
3259,92,0
3412,105,1
3565,106,1
3718,109,1
3872,107,1
4024,108,1
4177,107,1
4330,108,1
4483,107,1
4637,107,1
4789,109,1
4943,108,1
5095,108,1
5249,108,1
5401,97,0
5554,91,0
5707,91,0
5859,91,0
6012,91,0
6164,78,0
6317,73,0
6469,67,0
6622,60,0
6776,59,0
6928,54,0
7082,53,0
7235,48,0
7388,47,0
7541,44,0
7694,47,0
7847,38,0
7999,37,0
8153,34,0
8305,33,0
8459,29,0
8613,30,0
8765,31,0
8919,40,0
9071,41,0
9224,44,0
9378,39,0
9530,34,0
9684,35,0
9836,37,0
9990,63,0
10143,67,0
10296,69,0
10449,59,0
10602,53,0
10755,44,0
10907,43,0
11061,55,0
11215,57,0
11367,64,0
11520,72,0
11673,74,0
11826,68,0
11980,63,0
12132,56,0
12286,56,0
12438,64,0
12591,87,0
12746,100,0
12898,99,0
13052,99,0
13204,111,1
13358,108,1
13510,107,1
13664,94,0
13817,91,0
13970,92,0
14124,103,1
14277,103,1
14430,104,1
14584,101,1
14737,92,0
14890,85,0
15043,85,0
15196,78,0
15349,70,0
15501,73,0
15655,75,0
15807,68,0
15960,65,0
16113,62,0
16266,56,0
16420,51,0
16572,46,0
16726,42,0
16879,40,0
17032,40,0
17186,42,0
17339,38,0
17492,40,0
17645,43,0
17799,40,0
17952,56,0
18104,44,0
18258,44,0
18411,46,0
18564,49,0
18718,50,0
18871,58,0
19024,57,0
19177,62,0
19330,77,0
19482,83,0
19635,91,0
19789,93,0
19942,90,0
20095,91,0
20247,91,0
20401,91,0
20554,91,0
20707,91,0
20860,89,0
21012,91,0
21166,90,0
21320,90,0
21472,91,0
21625,91,0
21778,90,0
21931,90,0
22084,92,0
22238,90,0
22393,91,0
22546,91,0
22700,91,0
22853,91,0
23008,90,0
23162,92,0
23316,92,0
23470,91,0
23624,91,0
23777,91,0
23932,92,0
24085,91,0
24239,91,0
24394,90,0
24547,91,0
24701,91,0
24854,91,0
25008,91,0
25163,91,0
25316,93,0
25471,92,0
25624,91,0
25778,91,0
25932,92,0
26086,90,0
26240,91,0
26393,93,0
26548,92,0
26702,91,0
26855,92,0
27010,91,0
27163,90,0
27318,92,0
27472,91,0
27625,92,0
27779,91,0
27933,91,0
28087,92,0
28241,91,0
28394,92,0
28549,91,0
28703,91,0
28856,91,0
29010,91,0
29164,92,0
29318,90,0
