Time (ms),Angle (deg),Buzzer State,Fan State
52,35,0,1
205,36,0,1
357,37,0,1
511,36,0,1
664,35,0,1
817,36,0,1
971,36,0,1
1123,36,0,1
1277,35,0,1
1429,37,0,1
1583,36,0,1
1737,37,0,1
1889,37,0,1
2043,36,0,1
2195,37,0,1
2349,37,0,1
2501,37,0,1
2655,37,0,1
2808,38,0,1
2961,35,0,1
3114,37,0,1
3267,36,0,1
3420,37,0,1
3574,36,0,1
3727,37,0,1
3880,36,0,1
4033,36,0,1
4187,36,0,1
4340,37,0,1
4493,35,0,1
4646,41,0,1
4799,36,0,0
4954,36,0,0
5108,36,0,0
5261,37,0,0
5415,36,0,0
5569,34,0,0
5723,36,0,0
5877,37,0,0
6029,36,0,1
6183,36,0,1
6336,36,0,1
6489,36,0,1
6643,37,0,1
6795,35,0,1
6949,36,0,1
7102,29,0,1
7255,26,0,1
7408,20,0,1
7561,15,0,1
7714,11,0,1
7867,9,1,0
8020,4,1,0
8172,2,1,0
8325,1,1,0
8478,4,1,0
8630,2,1,0
8783,-1,1,0
8936,-3,1,0
9089,0,1,0
9241,0,1,0
9394,1,1,0
9547,2,1,0
9699,2,1,0
9853,-1,1,0
10005,6,1,0
10158,0,1,0
10310,2,1,0
10463,5,1,0
10616,0,1,0
10768,5,1,0
10921,4,1,0
11074,4,1,0
11227,4,1,0
11380,-1,1,0
11532,3,1,0
11685,7,1,0
11837,4,1,0
11990,14,0,1
12142,10,0,1
12296,18,0,1
12449,17,0,1
12602,20,0,1
12755,22,0,1
12908,32,0,1
13062,36,0,1
13215,30,0,1
13368,37,0,1
13521,31,0,1
13674,40,0,1
13827,52,0,1
13981,54,0,1
14133,57,0,1
14287,53,0,1
14439,63,0,1
14593,65,0,1
14745,70,0,1
14899,74,0,1
15052,76,0,1
15204,79,0,1
15358,84,0,1
15510,86,0,1
15664,89,0,1
15817,89,0,1
15970,93,1,0
16124,94,1,0
16277,98,1,0
16430,97,1,0
16584,98,1,0
16737,96,1,0
16892,96,1,0
17045,96,1,0
17198,97,1,0
17352,98,1,0
17505,95,1,0
17659,96,1,0
17812,95,1,0
17966,96,1,0
18120,99,1,0
18274,98,1,0
18428,101,1,0
18581,98,1,0
18735,114,1,0
18889,101,1,0
19042,97,1,0
19196,97,1,0
19348,89,0,1
19501,60,0,1
19654,62,0,1
19807,54,0,1
19961,43,0,1
20114,40,0,1
20267,39,0,1
20420,36,0,1
20573,37,0,1
20727,40,0,1
20880,40,0,1
21034,38,0,1
21186,35,0,1
21340,36,0,1
21494,38,0,1
21646,38,0,1
21800,39,0,1
21953,38,0,1
22106,37,0,1
22260,37,0,1
22413,37,0,1
22566,38,0,1
22719,37,0,1
22872,37,0,1
23025,39,0,1
23179,36,0,1
23332,37,0,1
23485,36,0,1
23639,39,0,1
23791,37,0,1
23945,37,0,1
24098,36,0,1
24251,37,0,1
24404,37,0,1
24557,37,0,1
24710,37,0,1
24864,37,0,1
25017,38,0,1
25170,37,0,1
25323,36,0,1
25476,37,0,1
25630,36,0,1
25783,36,0,1
25936,37,0,1
26089,38,0,1
